Ticker,Fund Name,Start Date,Category,Subcategory,Avg-Vol
EWH,iShares MSCI Hong Kong Index,2004-01-02 00:00:00,Index,,3450000.0
EWJ,iShares MSCI Japan Index Fund,2000-01-03 00:00:00,Index,,5530000.0
EWT,iShares MSCI Taiwan Index Fund,2004-01-02 00:00:00,Index,,3320000.0
EWU,iShares MSCI United Kingdom Ind,2004-01-02 00:00:00,Index,,1580000.0
EWW,iShares MSCI Mexico Index Fund,2000-01-03 00:00:00,Index,,1400000.0
EWY,iShares MSCI South Korea Index,2004-01-02 00:00:00,Index,,4400000.0
EWZ,iShares MSCI Brazil Index,2005-01-03 00:00:00,Index,,26690000.0
EZU,iShares MSCI Emu Index Fund,2000-07-31 00:00:00,Index,,2150000.0
FAZ,Direxion Daily Financial Bear 3X Shares,2008-11-06 00:00:00,Leveraged/Inverse,,25980000.0
FBND,Fidelity Total Bond ETF,2014-10-09 00:00:00,Bond,,1900000.0
FBTC,Fidelity Wise Origin Bitcoin Trust,2024-01-11 00:00:00,Crypto,,3270000.0
FENY,Fidelity MSCI Energy Index ETF,2013-10-24 00:00:00,Index,,3660000.0
FEZ,SPDR Dj Euro STOXX 50 ETF,2002-10-21 00:00:00,Currency,,1790000.0
FLOT,iShares Floating Rate Bond ETF,2011-06-17 00:00:00,Bond,,1220000.0
FNDF,Schwab Fundamental International Large Company Index ETF,2013-08-15 00:00:00,Index,,1170000.0
FNDX,Schwab Fundamental U.S. Large Company Index ETF,2013-08-15 00:00:00,Index,,3390000.0
FNGD,Bank Of Montreal Microsectors Fang Index 3X Inverse Leveraged ETN Exp 8 Jan 2038,2018-01-23 00:00:00,Leveraged/Inverse,,4680000.0
FNGU,Microsectors Fang+™ Index 3X Leveraged ETN,2018-01-23 00:00:00,Leveraged/Inverse,,5530000.0
FPE,First Trust Preferred Securities And Income ETF,2013-02-12 00:00:00,Dividend/Income,,1490000.0
FXI,iShares FTSE China 25 Index Fund,2004-10-08 00:00:00,Currency,,29970000.0
GBTC,Grayscale Bitcoin Trust,2015-05-04 00:00:00,Crypto,,2029999.0
GDX,Market Vectors Gold Miners ETF,2006-05-22 00:00:00,Commodity,Gold/Precious,18890000.0
GDXD,Microsectors Gold Miners -3X Inverse Leveraged ETNs,2020-12-03 00:00:00,Leveraged/Inverse,,11540000.0
GDXJ,Market Vectors Junior Gold Mine,2009-11-11 00:00:00,Commodity,Gold/Precious,4360000.0
GGLL,Direxion Daily Googl Bull 1.5X Shares,2022-09-07 00:00:00,Leveraged/Inverse,,2410000.0
GLD,SPDR Gold Shares,2004-11-18 00:00:00,Commodity,Gold/Precious,9220000.0
GLDM,SPDR Gold Minishares Trust,2018-06-26 00:00:00,Commodity,Gold/Precious,3520000.0
GOVT,iShares Us Treasury Bond,2012-02-24 00:00:00,Bond,Treasury,7380000.0
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 2X Shares,2015-05-29 00:00:00,Leveraged/Inverse,,1150000.0
HYG,iShares Iboxx $ High Yield Corporate Bd,2007-04-11 00:00:00,Bond,High Yield,33229999.0
HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,2011-04-14 00:00:00,Bond,High Yield,1070000.0
IAU,iShares Gold Trust,2005-01-28 00:00:00,Commodity,Gold/Precious,6640000.0
IAUM,iShares Gold Trust Micro iShares Gold Trust Micro Etv Shares R,2021-06-29 00:00:00,Commodity,Gold/Precious,2580000.0
IBB,iShares Nasdaq Biotechnology In,2001-02-12 00:00:00,Index,Nasdaq,1620000.0
IBIT,iShares Bitcoin Trust,2024-01-11 00:00:00,Crypto,,44670000.0
ICLN,iShares Global Clean Energy ETF,2008-06-25 00:00:00,Equity Sector,Energy,3170000.0
ICSH,iShares Ultra Short-Term Bond ETF,2013-12-13 00:00:00,Bond,Short Duration,1230000.0
IDEV,iShares Core MSCI International Developed Markets ETF,2017-03-23 00:00:00,Index,Global/International,1110000.0
IEF,iShares Lehman 7-10 Year Treasu,2002-07-30 00:00:00,Bond,,7300000.0
IEFA,iShares Core MSCI Eafe,2012-10-22 00:00:00,Index,Global/International,10170000.0
IEI,iShares Lehman 3-7 Year Treasur,2007-01-11 00:00:00,Bond,,1710000.0
IEMG,iShares Core MSCI Emerging Markets,2012-10-22 00:00:00,Index,Global/International,8960000.0
IGIB,iShares Lehman Intermediate,2007-05-16 00:00:00,Bond,,1700000.0
IGSB,iShares Short-Term Corporate Bond ETF,2007-05-16 00:00:00,Bond,Investment Grade,2730000.0
IGV,iShares Expanded Tech-Software Sector Et,2002-09-03 00:00:00,Equity Sector,Software,4550000.0
IJH,iShares S&P Midcap 400 Index Fu,2004-01-02 00:00:00,Index,,6930000.0
IJR,iShares S&P Smallcap 600 Index,2004-01-02 00:00:00,Index,,4740000.0
ILF,iShares Latin America 40 Index,2002-02-05 00:00:00,Commodity,Broad Commodity,1860000.0
INDA,iShares MSCI India,2012-02-03 00:00:00,Index,,6280000.0
IQLT,iShares MSCI Intl Quality Factor ETF,2015-01-15 00:00:00,Index,,1550000.0
ITB,iShares Dow Jones U.S. Home,2006-05-05 00:00:00,Index,Dow,3150000.0
ITOT,iShares Core S&P Total U.S. Stock Market ETF,2007-05-16 00:00:00,Index,,1660000.0
IUSB,iShares Core Total Usd Bond Market ETF,2014-06-12 00:00:00,Currency,,2270000.0
IVV,iShares S&P 500 Index,2005-01-03 00:00:00,Index,,5230000.0
IVW,iShares S&P 500 Growth Index Fund,2005-01-03 00:00:00,Index,,1990000.0
IWD,iShares Russell 1000 Value,2000-05-26 00:00:00,Index,Russell,2230000.0
IWF,iShares Russell 1000 Growth Index,2000-05-26 00:00:00,Index,Russell,1030000.0
IWM,iShares Russell 2000 Index,2000-05-26 00:00:00,Index,Russell,34570000.0
IWN,iShares Russell 2000 Value,2000-07-28 00:00:00,Index,Russell,1010000.0
IWR,iShares Russell Midcap Index Fund,2002-02-04 00:00:00,Index,Russell,1680000.0
IXUS,iShares Core MSCI Total International Stock ETF,2012-10-22 00:00:00,Index,,1740000.0
IYR,iShares Dow Jones Us Real Estate,2005-01-03 00:00:00,REIT,,6650000.0
JAAA,Janus Henderson Aaa Clo ETF,2020-10-19 00:00:00,Loan,,5310000.0
JDST,Direxion Daily Junior Gold Miners Index Bear 2X,2013-10-03 00:00:00,Leveraged/Inverse,,7230000.0
JEPI,JP Morgan Equity Premium Income ETF,2020-05-21 00:00:00,Dividend/Income,,4310000.0
JEPQ,JP Morgan Nasdaq Equity Premium Income ETF,2022-05-04 00:00:00,Index,Nasdaq,5890000.0
JETS,Us Global Jets,2015-04-30 00:00:00,Global/World,,3610000.0
JNK,SPDR Barclays Capital High Yield Bond,2007-12-04 00:00:00,Bond,High Yield,3920000.0
JPST,JP Morgan Ultra-Short Income ETF,2017-05-19 00:00:00,Dividend/Income,,5100000.0
KBE,SPDR S&P Bank ETF,2005-11-15 00:00:00,Equity Sector,Financials,1600000.0
KBWB,Invesco Kbw Bank ETF,2011-11-01 00:00:00,Equity Sector,Financials,2020000.0
KOLD,ProShares Ultrashort Bloomberg Natural Gas,2011-10-06 00:00:00,Commodity,Natural Gas,4710000.0
KRE,SPDR S&P Regional Banking ETF,2006-06-22 00:00:00,Equity Sector,Financials,14780000.0
KWEB,Kraneshares CSI China Internet ETF,2013-08-01 00:00:00,Country/Region,,17460000.0
LABD,Direxion Daily S&P Biotech Bear 3X Shares,2015-05-28 00:00:00,Leveraged/Inverse,,15370000.0
LABU,Direxion Daily S&P Biotech Bull 3X Shares,2015-05-28 00:00:00,Leveraged/Inverse,,1610000.0
LQD,iShares Iboxx $ Invest Grade Bond,2002-07-30 00:00:00,Bond,,26350000.0
MAGS,Roundhill Magnificent Seven ETF,2023-04-11 00:00:00,Other,,2000000.0
MBB,iShares Barclays Mbs Bond Fund,2007-03-16 00:00:00,Bond,Mortgage/Agency,2760000.0
MCHI,iShares MSCI China,2011-03-31 00:00:00,Index,,2250000.0
MINT,Pimco Enh Shrt Maturity,2009-11-17 00:00:00,Short,,1150000.0
MRNY,Tidal Trust Ii Yieldmax Mrna Option Income Strategy ETF,2023-10-24 00:00:00,Option Strategy,,2780000.0
MSOS,AdvisorShares Pure Us Cannabis ETF,2020-09-02 00:00:00,Equity Sector,,9400000.0
MSTY,Tidal Trust Ii Yieldmax Mstr Option Income Strategy ETF,2024-02-22 00:00:00,Option Strategy,,11050000.0
