Ticker,Fund Name,Start Date,Category,Subcategory,Avg-Vol
USMV,iShares Edge MSCI Min Vol Usa,2011-10-20 00:00:00,Index,,2230000.0
USO,United States Oil,2006-04-10 00:00:00,Commodity,Oil,8300000.0
UUP,PowerShares DB Usd Index Bullis,2007-02-20 00:00:00,Currency,,1280000.0
UVIX,2X Long VIX Futures ETF,2022-03-30 00:00:00,Leveraged/Inverse,,15810000.0
UVXY,ProShares Trust Ultra VIX Short,2011-10-04 00:00:00,Factor,,20220000.0
VCIT,Vanguard It Bond ETF,2009-11-23 00:00:00,Bond,,10210000.0
VCLT,Vanguard Long-Term Corporate Bonds,2009-11-23 00:00:00,Bond,Investment Grade,3540000.0
VCSH,Vanguard St Bond ETF,2009-11-23 00:00:00,Bond,,4970000.0
VEA,Vanguard Europe Pacific ETF,2007-07-26 00:00:00,Currency,,12000000.0
VEU,Vanguard FTSE Aw Ex-Us ETF,2007-03-08 00:00:00,Index,,2770000.0
VFLO,Victoryshares Free Cash Flow ETF,2023-06-22 00:00:00,Dividend/Income,,1050000.0
VGIT,Vanguard Intermediate-Term Treasury ETF,2009-11-23 00:00:00,Bond,Treasury,2049999.0
VGK,Vanguard European ETF,2005-03-10 00:00:00,Currency,,3300000.0
VGLT,Vanguard Long-Term Treasury ETF,2009-11-24 00:00:00,Bond,Treasury,1940000.0
VGSH,Vanguard Short-Term Treasury ETF,2009-11-23 00:00:00,Bond,Treasury,2330000.0
VIXY,ProShares Trust VIX Short-Term,2011-01-04 00:00:00,Factor,,1490000.0
VMBS,Vanguard Mortgage-Backed Securities ETF,2009-11-23 00:00:00,Bond,Mortgage/Agency,1370000.0
VNQ,Vanguard Reit ETF,2004-09-29 00:00:00,REIT,,3390000.0
VOO,Vanguard S&P 500 ETF,2010-09-09 00:00:00,Index,,6300000.0
VT,Vanguard Total World Stock ETF,2008-06-26 00:00:00,Country/Region,,2550000.0
VTEB,Vanguard Tax-Exempt Bond Index ETF,2015-08-25 00:00:00,Bond,,7320000.0
VTI,Vanguard Total Stock Market ETF,2001-06-15 00:00:00,Index,,3430000.0
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,2012-10-16 00:00:00,Bond,Inflation-Protected,1370000.0
VTV,Vanguard Value ETF,2004-01-30 00:00:00,Factor,,2600000.0
VTWO,Vanguard Russell 2000 ETF,2010-09-22 00:00:00,Index,Russell,2009999.0
VUSB,Vanguard Ultra-Short Bond ETF,2021-04-07 00:00:00,Bond,Short Duration,1040000.0
VWO,Vanguard MSCI Emerging Markets ETF,2005-03-10 00:00:00,Index,Global/International,8150000.0
VXUS,Vanguard Total International Stock Index,2011-01-28 00:00:00,Index,,4300000.0
VXX,iPath S&P 500 VIX Short-Term Futures,2009-03-02 00:00:00,Index,,5370000.0
XBI,SPDR Series Trust SPDR S&P Bio,2006-02-06 00:00:00,Equity Sector,,9800000.0
XHB,SPDR Series Trust SPDR Homebuil,2006-02-06 00:00:00,Equity Sector,,2690000.0
XLB,Materials Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Materials,6440000.0
XLC,Communication Services Select Sector SPDR Fund,2018-06-19 00:00:00,Bond,,5800000.0
XLE,Energy Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Energy,18220000.0
XLF,Financial Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Financials,36490000.0
XLG,Invesco S&P 500® Top 50 ETF,2005-05-10 00:00:00,Index,,1430000.0
XLI,Industrial Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,,11160000.0
XLK,Technology Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Information Technology,6220000.0
XLP,Consumer Staples Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Consumer Staples,15260000.0
XLRE,Real Estate Select Sector SPDR Fund,2015-10-08 00:00:00,REIT,,6390000.0
XLU,Utilities Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Utilities,11950000.0
XLV,Health Care Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,Health Care,13580000.0
XLY,Consumer Discret Select Sector SPDR,2000-01-03 00:00:00,Equity Sector,,5100000.0
XME,SPDR S&P Metals & Mining,2006-06-22 00:00:00,Equity Sector,Metals & Mining,1790000.0
XOP,SPDR S&P Oil&Gas Exploration & Prod,2006-06-22 00:00:00,Commodity,Oil,3340000.0
XRT,SPDR S&P Retail,2006-06-22 00:00:00,Thematic/Innovation,,5220000.0
YANG,Direxion Daily FTSE China Bear 3X Shares,2009-12-03 00:00:00,Leveraged/Inverse,,1860000.0
YINN,Direxion Daily FTSE China Bull 3X Shares,2009-12-03 00:00:00,Leveraged/Inverse,,2980000.0
YMAX,Tidal Trust Ii Yieldmax Universe Fund Of Option Income ETFs,2024-01-17 00:00:00,Option Strategy,,2670000.0
